Id,word_chinese,word_english,test_option_1,test_option_2,test_option_3
1,遺棄的;無人的,abandoned,abandoned,accessible,adverb
2,修道院,abbey,abbey,accessory,adverse
3,縮寫(v.),abbreviate,abbreviate,acclaim,advert
4,縮寫,abbreviation,abbreviation,accomplished,advertiser
5,腹部,abdomen,abdomen,accordance,advertising
6,遵守;保持,abide,abide,accordingly,advisable
7,廢除,abolish,abolish,accounting,advisory
8,原住民的,aboriginal,aboriginal,accumulate,advocate
9,原住民,aborigine,aborigine,accumulation,aerial
10,流產,abortion,abortion,accusation,aerospace
11,大量;充滿(v.),abound,abound,accustom,aesthetic
12,突然的;陡峭的,abrupt,abrupt,ace,aesthetics
13,心不在焉的,absent-minded,absent-minded,acknowledge,affectionate
14,發呆;抽出,abstraction,abstraction,acne,affiliate
15,荒謬的,absurd,absurd,acoustic,affirm
16,豐富,abundance,abundance,acquisition,afflict
17,豐富的,abundant,abundant,acting,aftermath
18,加速,accelerate,accelerate,activate,agenda
19,促進,acceleration,acceleration,activist,aggravate
20,可接近的;可進入的,accessible,accessible,acute,aggregate
21,附屬的;附屬品,accessory,accessory,ad,aggression
22,歡呼,acclaim,acclaim,adaptation,aging
23,已完成的,accomplished,accomplished,addict,agitate
24,一致,accordance,accordance,addicted,agitation(n.) 
25,因此,accordingly,accordingly,addiction,agony
26,會計,accounting,accounting,additive,agricultural
27,累積,accumulate,accumulate,adhere,AI
28,積累,accumulation,accumulation,adjacent,aide
29,指控,accusation,accusation,adjoin,air-conditioner
30,習慣於,accustom,accustom,adjustment,airlift
31,同花色中最大的牌,ace,ace,administer,airtight
32,承認,acknowledge,acknowledge,Administrative,airway
33,粉刺,acne,acne,administrator,aisle
34,聽覺的,acoustic,acoustic,admiral,alarming
35,取得,acquisition,acquisition,adolescence,algebra
36,行為;演出,acting,acting,adolescent,alien
37,啟動,activate,activate,adore,alienate
38,積極份子,activist,activist,adulthood,allegation
39,激烈的;敏銳的,acute,acute,advancement,allege
40,廣告,ad,ad,advent,alleged
41,適應,adaptation,adaptation,adverb,allergic
42,使沈溺,addict,addict,adverse,allergy
43,上癮的,addicted,addicted,advert,alleviate
44,沈溺,addiction,addiction,advertiser,alliance
45,上癮的,additive,additive,advertising,allied
46,黏附,adhere,adhere,advisable,alligator
47,鄰近的,adjacent,adjacent,advisory,allocate
48,鄰接,adjoin,adjoin,advocate,alloy
49,調整,adjustment,adjustment,aerial,ally
50,支配；治理,administer,administer,aerospace,almond
51,行政的,Administrative,Administrative,aesthetic,alter
52,行政官員,administrator,administrator,aesthetics,alternate
53,海軍將官,admiral,admiral,affectionate,alternatively
54,青春期,adolescence,adolescence,affiliate,ambiguity
55,青少年,adolescent,adolescent,affirm,ambiguous
56,仰慕,adore,adore,afflict,ambush
57,成人期,adulthood,adulthood,aftermath,amend
58,進步,advancement,advancement,agenda,amendment
59,到來，出現,advent,advent,aggravate,amends
60,副詞,adverb,adverb,aggregate,amiable
61,逆的;不利的,adverse,adverse,aggression,amicable
62,留意;提到,advert,advert,aging,ammunition
63,廣告商,advertiser,advertiser,agitate,amnesty
64,廣告業,advertising,advertising,agitation(n.) ,ample
65,適當的，可取的,advisable,advisable,agony,amplify
66,忠告的,advisory,advisory,agricultural,analogy
67,擁護者,advocate,advocate,AI,analytical
68,航空的,aerial,aerial,aide,anchor
69,宇宙,aerospace,aerospace,air-conditioner,anecdote
70,美學的,aesthetic,aesthetic,airlift,angler
71,美學,aesthetics,aesthetics,airtight,animate
72,有感情的,affectionate,affectionate,airway,animated
73,使隸屬於,affiliate,affiliate,aisle,annoyance
74,斷言,affirm,affirm,alarming,anonymous
75,使苦惱,afflict,afflict,algebra,Antarctic
76,餘波,aftermath,aftermath,alien,antenna
77,議程,agenda,agenda,alienate,anthem
78,加重(病情等),aggravate,aggravate,allegation,antibiotic
79,總計,aggregate,aggregate,allege,antibody
80,侵犯,aggression,aggression,alleged,anticipate
81,老化,aging,aging,allergic,anticipation
82,攪亂(人心),agitate,agitate,allergy,antique
83,攪動,agitation(n.) ,agitation(n.) ,alleviate,antonym
84,痛苦,agony,agony,alliance,anymore
85,農業的,agricultural,agricultural,allied,apartheid
86,阿拉伯聯盟,AI,AI,alligator,appall
87,助手,aide,aide,allocate,appalling
88,空調設備,air-conditioner,air-conditioner,alloy,apparatus
89,空運,airlift,airlift,ally,appendix
90,真空的,airtight,airtight,almond,applicable
91,空中航線,airway,airway,alter,appraisal
92,走道,aisle,aisle,alternate,appreciable
93,引起驚慌的,alarming,alarming,alternatively,apprehension
94,代數學,algebra,algebra,ambiguity,apprentice
95,外星人,alien,alien,ambiguous,approximate
96,疏離,alienate,alienate,ambush,apt
97,斷言，主張,allegation,allegation,amend,aptitude
98,斷言,allege,allege,amendment,arbitrary
99,聲稱的,alleged,alleged,amends,arc
100,過敏的,allergic,allergic,amiable,archaeology
101,過敏,allergy,allergy,amicable,architectural
102,減輕(痛苦等),alleviate,alleviate,ammunition,archives
103,聯盟,alliance,alliance,amnesty,Arctic
104,同盟的,allied,allied,ample,arena
105,短吻鱷,alligator,alligator,amplify,armor
106,分派,allocate,allocate,analogy,armored
107,合金,alloy,alloy,analytical,arms
108,(使)結盟;同盟者,ally,ally,anchor,array
109,杏仁,almond,almond,anecdote,arrogant
110,變更,alter,alter,angler,artery
111,交替的,alternate,alternate,animate,articulate
112,交替地,alternatively,alternatively,animated,artifact
113,模擬兩可,ambiguity,ambiguity,annoyance,artillery
