word_chinese	word_english	test_option_1	test_option_2	test_option_3
遺棄的;無人的	abandoned	abandoned	accessible	adverb
修道院	abbey	abbey	accessory	adverse
縮寫(v.)	abbreviate	abbreviate	acclaim	advert
縮寫	abbreviation	abbreviation	accomplished	advertiser
腹部	abdomen	abdomen	accordance	advertising
遵守;保持	abide	abide	accordingly	advisable
廢除	abolish	abolish	accounting	advisory
原住民的	aboriginal	aboriginal	accumulate	advocate
原住民	aborigine	aborigine	accumulation	aerial
流產	abortion	abortion	accusation	aerospace
大量;充滿(v.)	abound	abound	accustom	aesthetic
突然的;陡峭的	abrupt	abrupt	ace	aesthetics
心不在焉的	absent-minded	absent-minded	acknowledge	affectionate
發呆;抽出	abstraction	abstraction	acne	affiliate
荒謬的	absurd	absurd	acoustic	affirm
豐富	abundance	abundance	acquisition	afflict
豐富的	abundant	abundant	acting	aftermath
加速	accelerate	accelerate	activate	agenda
促進	acceleration	acceleration	activist	aggravate
可接近的;可進入的	accessible	accessible	acute	aggregate
附屬的;附屬品	accessory	accessory	ad	aggression
歡呼	acclaim	acclaim	adaptation	aging
已完成的	accomplished	accomplished	addict	agitate
一致	accordance	accordance	addicted	agitation(n.) 
因此	accordingly	accordingly	addiction	agony
會計	accounting	accounting	additive	agricultural
累積	accumulate	accumulate	adhere	AI
積累	accumulation	accumulation	adjacent	aide
指控	accusation	accusation	adjoin	air-conditioner
習慣於	accustom	accustom	adjustment	airlift
同花色中最大的牌	ace	ace	administer	airtight
承認	acknowledge	acknowledge	Administrative	airway
粉刺	acne	acne	administrator	aisle
聽覺的	acoustic	acoustic	admiral	alarming
取得	acquisition	acquisition	adolescence	algebra
行為;演出	acting	acting	adolescent	alien
啟動	activate	activate	adore	alienate
積極份子	activist	activist	adulthood	allegation
激烈的;敏銳的	acute	acute	advancement	allege
廣告	ad	ad	advent	alleged
適應	adaptation	adaptation	adverb	allergic
使沈溺	addict	addict	adverse	allergy
上癮的	addicted	addicted	advert	alleviate
沈溺	addiction	addiction	advertiser	alliance
上癮的	additive	additive	advertising	allied
黏附	adhere	adhere	advisable	alligator
鄰近的	adjacent	adjacent	advisory	allocate
鄰接	adjoin	adjoin	advocate	alloy
調整	adjustment	adjustment	aerial	ally
支配；治理	administer	administer	aerospace	almond
行政的	Administrative	Administrative	aesthetic	alter
行政官員	administrator	administrator	aesthetics	alternate
海軍將官	admiral	admiral	affectionate	alternatively
青春期	adolescence	adolescence	affiliate	ambiguity
青少年	adolescent	adolescent	affirm	ambiguous
仰慕	adore	adore	afflict	ambush
成人期	adulthood	adulthood	aftermath	amend
進步	advancement	advancement	agenda	amendment
到來，出現	advent	advent	aggravate	amends
